request_id,data_point_name,domain,description,expected_data_type,expected_table,expected_column,priority,feasibility_note
CDP030,treatment_duration_days,treatment,Duration from treatment start to end in days,int,raw_cancer_treatments,treatment_start_date,LOW,Needs treatment end date or proxy logic
CDP031,progression_flag,outcomes,Whether progressive disease has occurred,int,raw_cancer_treatments,treatment_response,HIGH,Can derive from progressive response category
CDP032,response_rate,outcomes,Share of complete or partial responses,double,raw_cancer_treatments,treatment_response,MEDIUM,Derived cohort-level endpoint
CDP033,time_to_treatment_days,outcomes,Days from diagnosis to first treatment,int,raw_cancer_diagnoses,diagnosis_date,HIGH,Join with first treatment date
CDP034,overall_survival_days,outcomes,Days from diagnosis to death or censoring,int,raw_cancer_patients,death_date,HIGH,Derived from diagnosis and death/censor date
CDP035,one_year_survival_flag,outcomes,Alive at 365 days from diagnosis,int,raw_cancer_patients,is_deceased,MEDIUM,Derived using diagnosis and death date
CDP036,mortality_30d_post_treatment,outcomes,Death within 30 days of treatment start,int,raw_cancer_treatments,treatment_start_date,MEDIUM,Needs join to death date
CDP037,metastasis_at_progression,outcomes,Metastatic disease by time of progression,int,raw_cancer_diagnoses,metastatic_flag,LOW,May need repeat diagnosis snapshots
CDP038,real_world_pfs_days,outcomes,Progression-free survival in days,int,raw_cancer_treatments,treatment_start_date,LOW,Requires progression event definition
CDP039,time_to_next_treatment_days,outcomes,Days from one regimen start to next regimen start,int,raw_cancer_treatments,treatment_start_date,LOW,Requires ordered treatment episodes
CDP040,hospital_admission_count_12m,utilization,Number of inpatient admissions within 12 months of diagnosis,int,raw_cancer_outcomes,patient_sk,LOW,Placeholder until encounter table is linked
CDP041,ed_attendance_count_12m,utilization,Number of emergency attendances within 12 months,int,raw_cancer_outcomes,patient_sk,LOW,Placeholder until emergency activity source is linked
CDP042,outpatient_visit_count_12m,utilization,Number of outpatient visits in first 12 months,int,raw_cancer_outcomes,patient_sk,LOW,Placeholder until outpatient table is linked
CDP043,icu_admission_flag,utilization,Any ICU admission during treatment period,int,raw_cancer_outcomes,patient_sk,LOW,Requires critical care source integration
CDP044,length_of_stay_total_days,utilization,Total inpatient length of stay during follow-up,int,raw_cancer_outcomes,patient_sk,LOW,Requires admission/discharge timestamps
CDP045,diagnostic_delay_days,care_pathway,Days from referral to diagnosis,int,raw_cancer_diagnoses,diagnosis_date,LOW,Needs referral date from pathway source
CDP046,treatment_delay_days,care_pathway,Days from MDT decision to treatment start,int,raw_cancer_treatments,treatment_start_date,LOW,Needs MDT decision date source
CDP047,clinical_trial_enrollment_flag,care_pathway,Whether patient enrolled in a cancer trial,int,raw_cancer_outcomes,patient_sk,LOW,Requires linkage to trial recruitment data
CDP048,molecular_test_performed_flag,biomarkers,Whether tumour molecular profiling was performed,int,raw_cancer_outcomes,patient_sk,LOW,Requires pathology/genomics source
CDP049,pd_l1_expression_percent,biomarkers,Programmed death-ligand 1 expression percentage,double,raw_cancer_outcomes,patient_sk,LOW,Requires structured biomarker results
CDP050,egfr_mutation_status,biomarkers,EGFR mutation positive or negative status,string,raw_cancer_outcomes,patient_sk,LOW,Requires genomics variant table
